ID,Rel Compact,Surface Area,Wall Area,Roof Area,Height,Orientation,Glazing Area,Glazing Distr,Outcome
429,0.79,637,343,147,7,5,0.25,1,39.05552863
430,0.74,686,245,220.5,3.5,4,0.1,1,10.2773855
431,0.76,661.5,416.5,122.5,7,4,0.1,2,33.20595852
432,0.79,637,343,147,7,2,0.1,5,37.053888
433,0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.09834249
434,0.79,637,343,147,7,5,0.25,3,39.81565404
435,0.79,637,343,147,7,3,0.1,5,36.76252177
436,0.69,735,294,220.5,3.5,4,0.4,3,14.25716864
437,0.9,563.5,318.5,122.5,7,4,0.4,5,34.76346267
438,0.76,661.5,416.5,122.5,7,3,0,0,23.8451636
439,0.82,612.5,318.5,147,7,4,0.4,4,28.64764889
440,0.98,514.5,294,110.25,7,3,0.4,3,32.53448327
441,0.69,735,294,220.5,3.5,3,0.4,1,14.92842467
442,0.82,612.5,318.5,147,7,3,0.4,5,29.31366886
443,0.86,588,294,147,7,4,0.1,5,25.29178923
444,0.71,710.5,269.5,220.5,3.5,5,0.4,2,14.89370048
445,0.79,637,343,147,7,3,0.4,1,42.62934035
446,0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.77444324
447,0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.18077751
448,0.74,686,245,220.5,3.5,5,0.4,2,14.43799771
449,0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.54964369
450,0.74,686,245,220.5,3.5,5,0.1,2,10.56548926
451,0.74,686,245,220.5,3.5,5,0.1,1,10.41376578
452,0.82,612.5,318.5,147,7,5,0.25,1,26.21259075
453,0.86,588,294,147,7,5,0.4,4,32.82178558
454,0.9,563.5,318.5,122.5,7,3,0.1,5,29.19457858
455,0.74,686,245,220.5,3.5,3,0.1,5,10.37947496
456,0.64,784,343,220.5,3.5,4,0.25,4,16.70619733
457,0.9,563.5,318.5,122.5,7,3,0.25,4,31.74257876
458,0.69,735,294,220.5,3.5,4,0.25,5,11.95045522
459,0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.39038826
460,0.82,612.5,318.5,147,7,2,0.4,5,29.997365
461,0.79,637,343,147,7,3,0.25,5,39.82101698
462,0.86,588,294,147,7,4,0.4,2,32.18368791
463,0.76,661.5,416.5,122.5,7,3,0.4,1,39.97652372
464,0.76,661.5,416.5,122.5,7,5,0.4,3,39.68541586
465,0.69,735,294,220.5,3.5,3,0.1,3,11.27327357
466,0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.63355494
467,0.79,637,343,147,7,2,0.25,1,38.75876604
468,0.64,784,343,220.5,3.5,5,0.25,5,16.96113144
469,0.62,808.5,367.5,220.5,3.5,2,0.25,5,13.66988269
470,0.86,588,294,147,7,5,0,0,18.23784628
471,0.66,759.5,318.5,220.5,3.5,4,0.4,5,14.96269129
472,0.62,808.5,367.5,220.5,3.5,4,0.4,4,17.01244216
473,0.69,735,294,220.5,3.5,3,0.25,1,12.86341133
474,0.82,612.5,318.5,147,7,4,0.4,5,29.03895459
475,0.98,514.5,294,110.25,7,3,0.25,3,28.5815239
476,0.86,588,294,147,7,3,0.25,1,30.12162984
477,0.82,612.5,318.5,147,7,2,0.4,3,28.62651412
478,0.79,637,343,147,7,2,0.25,3,38.97219805
479,0.64,784,343,220.5,3.5,2,0.25,3,16.76300626
480,0.9,563.5,318.5,122.5,7,2,0.25,4,32.61927454
481,0.62,808.5,367.5,220.5,3.5,2,0.4,5,16.71560313
482,0.69,735,294,220.5,3.5,3,0.25,2,13.00754377
483,0.69,735,294,220.5,3.5,5,0.25,3,12.01981941
484,0.69,735,294,220.5,3.5,2,0.1,2,11.37053107
485,0.9,563.5,318.5,122.5,7,2,0.1,5,29.85645563
486,0.86,588,294,147,7,4,0.1,3,27.02307452
487,0.62,808.5,367.5,220.5,3.5,3,0.1,1,13.02173699
488,0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.41787834
489,0.76,661.5,416.5,122.5,7,2,0.1,3,32.292433
490,0.74,686,245,220.5,3.5,4,0.25,2,12.24779847
491,0.9,563.5,318.5,122.5,7,5,0.1,3,28.93057186
492,0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.29516477
493,0.66,759.5,318.5,220.5,3.5,4,0.4,3,14.79795184
494,0.98,514.5,294,110.25,7,3,0.25,2,28.6025474
495,0.9,563.5,318.5,122.5,7,5,0.25,2,31.64843788
496,0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.2075531
497,0.86,588,294,147,7,4,0.25,1,29.48748
498,0.9,563.5,318.5,122.5,7,3,0.25,5,32.46569343
499,0.62,808.5,367.5,220.5,3.5,4,0.25,4,14.62252681
500,0.98,514.5,294,110.25,7,3,0.1,4,24.16714028
501,0.74,686,245,220.5,3.5,3,0.25,2,12.36419079
502,0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.72005277
503,0.98,514.5,294,110.25,7,3,0.1,1,24.67167507
504,0.79,637,343,147,7,2,0.1,2,35.68209745
505,0.66,759.5,318.5,220.5,3.5,3,0.4,2,15.2202967
506,0.69,735,294,220.5,3.5,2,0.25,5,12.41365743
507,0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.62872895
508,0.86,588,294,147,7,2,0.4,1,31.69733958
509,0.98,514.5,294,110.25,7,2,0.4,3,32.75110661
510,0.69,735,294,220.5,3.5,2,0,0,6.851366057
511,0.69,735,294,220.5,3.5,2,0.4,2,14.69336306
512,0.69,735,294,220.5,3.5,2,0.4,4,14.4544172
513,0.79,637,343,147,7,2,0.25,2,38.72289342
514,0.62,808.5,367.5,220.5,3.5,4,0,0,8.422119857
515,0.69,735,294,220.5,3.5,2,0.1,4,11.18513674
516,0.76,661.5,416.5,122.5,7,4,0.1,3,32.18033216
517,0.62,808.5,367.5,220.5,3.5,2,0.25,3,14.01631669
518,0.74,686,245,220.5,3.5,4,0.4,3,14.11780363
519,0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.83844883
520,0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.89744955
521,0.76,661.5,416.5,122.5,7,4,0,0,24.85244575
522,0.98,514.5,294,110.25,7,2,0.1,5,24.49228238
523,0.69,735,294,220.5,3.5,2,0.4,5,14.15916025
524,0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.42382288
525,0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.82075317
526,0.64,784,343,220.5,3.5,2,0.4,3,18.42465787
527,0.98,514.5,294,110.25,7,3,0.4,1,32.22351671
528,0.79,637,343,147,7,4,0.1,3,36.92597641
529,0.79,637,343,147,7,2,0.1,4,36.93715408
530,0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.79151675
531,0.86,588,294,147,7,3,0.1,4,25.29067985
532,0.76,661.5,416.5,122.5,7,5,0.25,4,36.40930095
533,0.9,563.5,318.5,122.5,7,5,0.1,2,28.04313749
534,0.74,686,245,220.5,3.5,2,0,0,6.033650213
535,0.76,661.5,416.5,122.5,7,5,0.1,3,33.14962975
536,0.9,563.5,318.5,122.5,7,2,0.25,2,32.54260073
537,0.86,588,294,147,7,5,0.25,3,29.14199245
538,0.69,735,294,220.5,3.5,2,0.1,5,11.09787841
539,0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.30525226
540,0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.63528327
541,0.64,784,343,220.5,3.5,3,0.4,1,19.14956783
542,0.86,588,294,147,7,2,0.1,3,25.51097745
543,0.69,735,294,220.5,3.5,4,0.1,3,10.98291286
544,0.9,563.5,318.5,122.5,7,2,0.1,1,28.85809497
545,0.74,686,245,220.5,3.5,4,0.4,1,14.76957669
546,0.86,588,294,147,7,3,0.25,5,29.22967788
547,0.82,612.5,318.5,147,7,3,0.25,4,24.93278958
548,0.64,784,343,220.5,3.5,3,0.4,5,18.13730515
549,0.64,784,343,220.5,3.5,5,0.4,5,17.88999934
550,0.9,563.5,318.5,122.5,7,3,0.1,3,29.02194325
551,0.62,808.5,367.5,220.5,3.5,2,0.4,3,16.67332132
552,0.79,637,343,147,7,4,0.25,5,39.21735378
553,0.76,661.5,416.5,122.5,7,5,0.1,2,32.40497035
554,0.76,661.5,416.5,122.5,7,2,0.25,2,36.86762026
555,0.98,514.5,294,110.25,7,4,0.1,5,24.01872651
556,0.76,661.5,416.5,122.5,7,5,0,0,24.00482381
557,0.69,735,294,220.5,3.5,5,0.1,1,11.0996151
558,0.64,784,343,220.5,3.5,2,0.25,4,16.79639544
559,0.74,686,245,220.5,3.5,5,0.4,4,14.59350805
560,0.98,514.5,294,110.25,7,4,0.25,5,28.18468605
561,0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.49704085
562,0.79,637,343,147,7,3,0.1,3,35.64808446
563,0.9,563.5,318.5,122.5,7,3,0,0,21.39677841
564,0.74,686,245,220.5,3.5,2,0.4,3,14.12860355
565,0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.87709652
566,0.82,612.5,318.5,147,7,4,0.4,1,29.48225453
567,0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.86094553
568,0.64,784,343,220.5,3.5,5,0.1,5,15.37233464
569,0.64,784,343,220.5,3.5,4,0.4,4,18.88282178
570,0.79,637,343,147,7,4,0.1,4,35.42908791
571,0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.61194723
572,0.86,588,294,147,7,3,0,0,20.03149621
573,0.64,784,343,220.5,3.5,2,0.25,2,17.25070033
574,0.79,637,343,147,7,4,0.25,2,40.00033796
575,0.9,563.5,318.5,122.5,7,2,0.1,4,29.1859348
576,0.74,686,245,220.5,3.5,5,0.25,1,12.6568373
577,0.82,612.5,318.5,147,7,5,0.25,4,26.09871909
578,0.98,514.5,294,110.25,7,4,0.25,1,28.29004775
579,0.79,637,343,147,7,3,0,0,29.99621436
580,0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.49339888
581,0.86,588,294,147,7,5,0.1,1,25.20772241
582,0.71,710.5,269.5,220.5,3.5,2,0.4,3,14.06705968
583,0.74,686,245,220.5,3.5,3,0.4,1,14.52655741
584,0.62,808.5,367.5,220.5,3.5,4,0.4,5,16.49165017
585,0.74,686,245,220.5,3.5,5,0.4,3,13.82574639
586,0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.78410426
587,0.74,686,245,220.5,3.5,2,0.4,4,14.4769164
588,0.66,759.5,318.5,220.5,3.5,4,0.4,1,15.22111945
589,0.64,784,343,220.5,3.5,2,0.4,5,17.64530237
590,0.71,710.5,269.5,220.5,3.5,4,0.4,4,14.59975533
591,0.64,784,343,220.5,3.5,3,0.1,5,15.38037791
592,0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.795073
593,0.64,784,343,220.5,3.5,4,0.1,4,15.29255152
594,0.76,661.5,416.5,122.5,7,5,0.25,5,36.84181991
595,0.66,759.5,318.5,220.5,3.5,3,0.4,3,15.29178916
596,0.64,784,343,220.5,3.5,5,0.25,2,17.1609416
597,0.69,735,294,220.5,3.5,4,0.25,2,12.69476007
598,0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.28566431
599,0.69,735,294,220.5,3.5,2,0.25,1,12.91614035
600,0.98,514.5,294,110.25,7,5,0.4,1,32.55453752
601,0.86,588,294,147,7,2,0.25,5,29.54027455
602,0.76,661.5,416.5,122.5,7,2,0.25,4,36.94076985
603,0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.5480469
604,0.82,612.5,318.5,147,7,5,0.4,1,28.61579958
605,0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.99692275
606,0.66,759.5,318.5,220.5,3.5,3,0.4,5,14.94601081
607,0.64,784,343,220.5,3.5,5,0.4,3,18.56880412
608,0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.11556783
609,0.74,686,245,220.5,3.5,3,0.25,1,12.44903721
610,0.82,612.5,318.5,147,7,2,0,0,17.25380059
611,0.64,784,343,220.5,3.5,2,0.4,4,19.10954869
612,0.62,808.5,367.5,220.5,3.5,3,0.4,4,16.84299541
613,0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.2026302
614,0.66,759.5,318.5,220.5,3.5,5,0.4,2,15.41984246
615,0.82,612.5,318.5,147,7,2,0.4,1,29.24514049
616,0.74,686,245,220.5,3.5,2,0.25,4,12.23979407
617,0.98,514.5,294,110.25,7,2,0.1,2,24.24386047
618,0.82,612.5,318.5,147,7,3,0.1,1,24.14240259
619,0.86,588,294,147,7,2,0.1,2,26.53348146
620,0.69,735,294,220.5,3.5,2,0.4,1,14.66253743
621,0.79,637,343,147,7,4,0.4,4,41.22070721
622,0.79,637,343,147,7,5,0.25,5,38.52775278
623,0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.79200621
624,0.74,686,245,220.5,3.5,5,0.1,5,10.38096462
625,0.98,514.5,294,110.25,7,2,0.1,3,24.21141863
626,0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.20950776
627,0.71,710.5,269.5,220.5,3.5,4,0.4,2,14.44183467
628,0.74,686,245,220.5,3.5,2,0.4,5,14.2723825
629,0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.39565753
630,0.76,661.5,416.5,122.5,7,3,0.25,4,36.42685941
631,0.9,563.5,318.5,122.5,7,5,0.4,4,36.4799996
632,0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.16005715
633,0.86,588,294,147,7,5,0.1,4,26.85198075
634,0.69,735,294,220.5,3.5,3,0.4,3,14.59828842
635,0.66,759.5,318.5,220.5,3.5,3,0.4,1,15.35013975
636,0.9,563.5,318.5,122.5,7,5,0.1,1,28.13323693
637,0.76,661.5,416.5,122.5,7,3,0.4,2,40.22160866
638,0.74,686,245,220.5,3.5,4,0.1,4,9.966247764
639,0.82,612.5,318.5,147,7,5,0.4,3,28.86873934
640,0.64,784,343,220.5,3.5,4,0.25,2,17.04567542
641,0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.59233455
642,0.82,612.5,318.5,147,7,3,0.4,4,28.09565384
643,0.76,661.5,416.5,122.5,7,2,0.1,4,33.09736736
644,0.62,808.5,367.5,220.5,3.5,2,0.4,4,16.45253378
645,0.9,563.5,318.5,122.5,7,3,0.25,2,33.3846412
646,0.66,759.5,318.5,220.5,3.5,2,0.4,4,15.43980726
647,0.98,514.5,294,110.25,7,4,0.4,2,32.2154698
648,0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.34726023
649,0.76,661.5,416.5,122.5,7,5,0.25,2,36.33095802
650,0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.57702512
