"","ID","Rel.Compact","Surface.Area","Wall.Area","Roof.Area","Height","Orientation","Glazing.Area","Glazing.Distr","Outcome"
"641",641,0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.59233455
"197",197,0.76,661.5,416.5,122.5,7,2,0.4,3,39.33060421
"52",52,0.86,588,294,147,7,5,0.1,2,25.19688783
"534",534,0.74,686,245,220.5,3.5,2,0,0,6.033650213
"30",30,0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.12166087
"360",360,0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.86252884
"18",18,0.76,661.5,416.5,122.5,7,5,0.1,4,32.40188019
"258",258,0.69,735,294,220.5,3.5,5,0.1,3,11.14796912
"228",228,0.9,563.5,318.5,122.5,7,3,0.25,1,33.55977101
"146",146,0.64,784,343,220.5,3.5,2,0.1,5,15.10444385
"168",168,0.98,514.5,294,110.25,7,5,0.1,2,24.24941927
"650",650,0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.57702512
"511",511,0.69,735,294,220.5,3.5,2,0.4,2,14.69336306
"414",414,0.98,514.5,294,110.25,7,5,0.25,5,28.62234344
"66",66,0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.76272385
"498",498,0.9,563.5,318.5,122.5,7,3,0.25,5,32.46569343
"619",619,0.86,588,294,147,7,2,0.1,2,26.53348146
"426",426,0.98,514.5,294,110.25,7,2,0.25,5,28.59741593
"608",608,0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.11556783
"460",460,0.82,612.5,318.5,147,7,2,0.4,5,29.997365
"11",11,0.82,612.5,318.5,147,7,3,0,0,17.5246443
"572",572,0.86,588,294,147,7,3,0,0,20.03149621
"135",135,0.74,686,245,220.5,3.5,3,0.1,4,10.18830462
"81",81,0.74,686,245,220.5,3.5,3,0.4,4,14.47046701
"284",284,0.82,612.5,318.5,147,7,2,0.1,3,23.01343687
"549",549,0.64,784,343,220.5,3.5,5,0.4,5,17.88999934
"262",262,0.9,563.5,318.5,122.5,7,5,0.1,4,29.79864383
"72",72,0.98,514.5,294,110.25,7,5,0.4,5,32.83769882
"73",73,0.74,686,245,220.5,3.5,4,0.1,2,10.39788784
"331",331,0.71,710.5,269.5,220.5,3.5,2,0,0,6.452950663
"451",451,0.74,686,245,220.5,3.5,5,0.1,1,10.41376578
"344",344,0.64,784,343,220.5,3.5,3,0.25,1,17.31900888
"296",296,0.86,588,294,147,7,4,0.4,1,32.08489512
"358",358,0.79,637,343,147,7,4,0.1,1,36.85838848
"629",629,0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.39565753
"220",220,0.9,563.5,318.5,122.5,7,2,0.4,1,36.36501281
"222",222,0.69,735,294,220.5,3.5,3,0.25,5,12.18866717
"266",266,0.66,759.5,318.5,220.5,3.5,2,0,0,6.887100376
"435",435,0.79,637,343,147,7,3,0.1,5,36.76252177
"183",183,0.79,637,343,147,7,5,0.4,1,41.62615199
"67",67,0.69,735,294,220.5,3.5,5,0.1,5,11.08229831
"4",4,0.66,759.5,318.5,220.5,3.5,3,0.25,5,12.956484
"119",119,0.74,686,245,220.5,3.5,3,0.1,2,10.38390832
"98",98,0.98,514.5,294,110.25,7,4,0.1,2,24.23543652
"537",537,0.86,588,294,147,7,5,0.25,3,29.14199245
"49",49,0.71,710.5,269.5,220.5,3.5,4,0,0,6.435335742
"180",180,0.86,588,294,147,7,2,0.4,2,32.52627176
"611",611,0.64,784,343,220.5,3.5,2,0.4,4,19.10954869
"290",290,0.82,612.5,318.5,147,7,4,0.1,2,23.64479995
"116",116,0.74,686,245,220.5,3.5,2,0.25,3,11.84321441
"80",80,0.98,514.5,294,110.25,7,5,0.1,5,24.34465062
"264",264,0.98,514.5,294,110.25,7,5,0.25,4,28.61002729
"473",473,0.69,735,294,220.5,3.5,3,0.25,1,12.86341133
"353",353,0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.55730866
"408",408,0.62,808.5,367.5,220.5,3.5,2,0.4,1,15.0965435
"175",175,0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.07500616
"225",225,0.64,784,343,220.5,3.5,2,0.1,2,15.27719413
"402",402,0.9,563.5,318.5,122.5,7,5,0.4,3,34.27475523
"566",566,0.82,612.5,318.5,147,7,4,0.4,1,29.48225453
"430",430,0.74,686,245,220.5,3.5,4,0.1,1,10.2773855
"190",190,0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.13239187
"300",300,0.86,588,294,147,7,4,0.25,2,29.2288057
"240",240,0.82,612.5,318.5,147,7,4,0.25,5,24.67293821
"42",42,0.76,661.5,416.5,122.5,7,5,0.25,3,36.49102558
"340",340,0.76,661.5,416.5,122.5,7,5,0.25,1,36.30184313
"453",453,0.86,588,294,147,7,5,0.4,4,32.82178558
"206",206,0.82,612.5,318.5,147,7,2,0.25,5,25.63917912
"23",23,0.64,784,343,220.5,3.5,3,0.1,1,15.00444799
"288",288,0.82,612.5,318.5,147,7,4,0.25,3,25.44443212
"506",506,0.69,735,294,220.5,3.5,2,0.25,5,12.41365743
"637",637,0.76,661.5,416.5,122.5,7,3,0.4,2,40.22160866
"609",609,0.74,686,245,220.5,3.5,3,0.25,1,12.44903721
"538",538,0.69,735,294,220.5,3.5,2,0.1,5,11.09787841
"28",28,0.98,514.5,294,110.25,7,2,0.4,1,32.31057679
"521",521,0.76,661.5,416.5,122.5,7,4,0,0,24.85244575
"437",437,0.9,563.5,318.5,122.5,7,4,0.4,5,34.76346267
"209",209,0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.58059957
"310",310,0.98,514.5,294,110.25,7,4,0.1,3,24.18177152
"479",479,0.64,784,343,220.5,3.5,2,0.25,3,16.76300626
"17",17,0.74,686,245,220.5,3.5,3,0,0,6.20419087
"312",312,0.9,563.5,318.5,122.5,7,5,0,0,19.61481449
"606",606,0.66,759.5,318.5,220.5,3.5,3,0.4,5,14.94601081
"214",214,0.98,514.5,294,110.25,7,5,0.4,4,32.70300734
"208",208,0.76,661.5,416.5,122.5,7,2,0.4,1,40.84239736
"366",366,0.79,637,343,147,7,2,0.1,1,35.64622295
"624",624,0.74,686,245,220.5,3.5,5,0.1,5,10.38096462
"396",396,0.76,661.5,416.5,122.5,7,3,0.1,4,32.33625307
"106",106,0.9,563.5,318.5,122.5,7,4,0.1,4,28.68720751
"281",281,0.98,514.5,294,110.25,7,3,0.4,4,32.65130947
"47",47,0.69,735,294,220.5,3.5,5,0.1,2,11.55777304
"554",554,0.76,661.5,416.5,122.5,7,2,0.25,2,36.86762026
"96",96,0.62,808.5,367.5,220.5,3.5,3,0.1,4,12.95758755
"599",599,0.69,735,294,220.5,3.5,2,0.25,1,12.91614035
"458",458,0.69,735,294,220.5,3.5,4,0.25,5,11.95045522
"105",105,0.86,588,294,147,7,2,0.1,1,26.26929761
"528",528,0.79,637,343,147,7,4,0.1,3,36.92597641
"285",285,0.74,686,245,220.5,3.5,5,0.25,4,12.50016172
"136",136,0.62,808.5,367.5,220.5,3.5,5,0.25,4,14.45098648
"556",556,0.76,661.5,416.5,122.5,7,5,0,0,24.00482381
"10",10,0.71,710.5,269.5,220.5,3.5,5,0.4,1,14.44854086
"19",19,0.66,759.5,318.5,220.5,3.5,5,0.25,4,12.88745186
"152",152,0.79,637,343,147,7,5,0.1,3,36.76349083
"90",90,0.69,735,294,220.5,3.5,5,0.25,4,12.82553608
"385",385,0.86,588,294,147,7,4,0,0,19.30836489
"489",489,0.76,661.5,416.5,122.5,7,2,0.1,3,32.292433
"532",532,0.76,661.5,416.5,122.5,7,5,0.25,4,36.40930095
"283",283,0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.43493843
"238",238,0.64,784,343,220.5,3.5,5,0,0,10.6770613
"596",596,0.64,784,343,220.5,3.5,5,0.25,2,17.1609416
"323",323,0.71,710.5,269.5,220.5,3.5,3,0.4,5,12.64543011
"314",314,0.64,784,343,220.5,3.5,4,0.25,1,17.49514532
"40",40,0.64,784,343,220.5,3.5,5,0.1,2,15.22547471
"29",29,0.69,735,294,220.5,3.5,4,0.4,1,14.48990868
"113",113,0.86,588,294,147,7,3,0.1,2,27.01338694
"205",205,0.82,612.5,318.5,147,7,4,0.1,3,24.05466193
"243",243,0.86,588,294,147,7,3,0.25,4,28.22658476
"193",193,0.74,686,245,220.5,3.5,5,0.25,5,11.95250486
"542",542,0.86,588,294,147,7,2,0.1,3,25.51097745
"423",423,0.98,514.5,294,110.25,7,2,0.25,2,28.64311312
"418",418,0.74,686,245,220.5,3.5,2,0.1,2,10.34873864
"305",305,0.79,637,343,147,7,5,0.25,4,40.10175433
"467",467,0.79,637,343,147,7,2,0.25,1,38.75876604
"100",100,0.86,588,294,147,7,4,0.25,3,29.42308871
"36",36,0.76,661.5,416.5,122.5,7,3,0.25,1,36.13154409
"34",34,0.76,661.5,416.5,122.5,7,2,0.25,3,35.79043704
"503",503,0.98,514.5,294,110.25,7,3,0.1,1,24.67167507
"328",328,0.69,735,294,220.5,3.5,3,0.1,5,11.10087938
"580",580,0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.49339888
"434",434,0.79,637,343,147,7,5,0.25,3,39.81565404
"561",561,0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.49704085
"94",94,0.66,759.5,318.5,220.5,3.5,5,0.4,3,14.71544927
